No.,日本語,単語・表現,英語の説明
1501,服を着る,get dressed,put clothes
1502,脱帽,hat off,an expression of respect or admiration
1503,〜に分けられる,be divided into,be split into parts
1504,〜にうんざりしている,be sick of,be tired
1505,わざと,on purpose,intentionally
1506,上流階級,upper class,the highest social class
1507,ほっとした,that's a relief,I'm relieved
1508,残念,that's a shame,show sympathy about bad news
1509,落ち着く,calm down,become less upset
1510,ふと思いつく,it occurs to me,a thought comes to mind
1511,言い逃れする,cop out,back out
1512,理解する,catch on,understand
1513,ちょっと寄る,pop in,drop by briefly
1514,嘘偽りなし,no cap,no lie
1515,また今度,rain check,a deferred invitation
1516,脇に置く,put aside,set apart
1517,封鎖する,lock down,restrict movement strictly
1518,好きにすれば,suit yourself,do what you want
1519,わざわざ〜しないで,don't bother,don't trouble yourself
1520,まず初めに,to begin with,first of all
1521,オンデマンドで,on demand,available when wanted
1522,取っておく,set aside,save or reserve
1523,〜を当てにする,count on,rely
1524,早起きの人,early bird,a person who gets up early
1525,洗い落とす,wash off,remove by washing
1526,常温,room temperature,the normal temperature of a room
1527,予定より遅れている,behind schedule,later than planned
1528,ウケない,fall flat,fail to achieve the intended effect
1529,割り勘にする,go Dutch,split the bill
1530,安全網,safety net,a system that protects against loss
1531,行ったり来たり,back and forth,moving repeatedly between two points
1532,大量の,tons of,a large amount
1533,正気を失う,go insane,become crazy or extremely upset
1534,内輪のジョーク,inside joke,a joke understood only by a particular group
1535,調子どう？,how's it going?,how are things
1536,度肝を抜く,blow my mind,amaze or astonish me
1537,最悪の事態の重なり,a perfect storm,a rare combination of bad events
1538,もちろん,you bet,of course
1539,〜に違いない,I bet,say you are confident something is true
1540,失敗する,screw up,make a serious mistake
1541,それで思い出した,that reminds me,that makes me think
1542,暇な時間,spare time,time when you are not working or busy
1543,〜することに決める,decide to,choose to do
1544,厳しく取り締まる,crack down on,enforce strictly
1545,復習する,brush up on,review or refresh skills
1546,いいなあ,lucky you,lucky on your part
1547,危険信号,red flag,a warning sign
1548,固執する,stick to,stay loyal
1549,そのまま続ける,stick with,continue with the same choice
1550,責任を免れた,off the hook,freed from responsibility
1551,舞台裏で,behind the scenes,out of public view
1552,驚いたことに,to my surprise,surprisingly to me
1553,〜するのに忙しい,busy doing,occupied doing
1554,驚き,a surprise,an unexpected event or gift
1555,私のおごり,my treat,I'll pay for this
1556,率直に,to be frank,honestly speaking
1557,終わらせる,wrap up,finish
1558,修復する,patch up,repair
1559,大笑いさせる,it cracks me up,it makes me laugh hard
1560,急がなくていい,there's no rush,no need to hurry
1561,やめろ,knock it off,stop doing something annoying
1562,最後の手段,last resort,a final option
1563,〜に備えている,be prepared for,be ready for something
1564,うまくいきますように,fingers crossed,hoping for good luck
1565,見て見ぬふりをする,turn a blind eye,ignore wrongdoing deliberately
1566,取り壊す,tear down,pull a building or structure to the ground
1567,弱み,soft spot,a fond feeling for something
1568,正直に言うと,to be honest,speaking truthfully
1569,ストレスでまいってる,stressed out,very stressed
1570,リラックスする,chill out,relax
1571,効き始める,kick in,start to take effect
1572,1組の,a pair of,two of something that go together
1573,グレーゾーン,gray area,an unclear or ambiguous situation
1574,急ぐ,hurry up,do something faster than you are now
1575,積み重なる,pile up,gather into a growing heap or amount
1576,〜から判断すると,judging from,forming an opinion using the evidence you have
1577,かき集める,drum up,gather
1578,根絶する,stamp out,eliminate or suppress completely
1579,ぼったくる,rip off,cheat by overcharging
1580,考慮に入れる,factor in,include as a consideration
1581,ふざける,fool around,behave playfully or waste time
1582,心が落ち着く食べ物,comfort food,food that gives emotional comfort
1583,軽くあしらう,brush off,dismiss casually
1584,パニックになる,freak out,panic or get very upset
1585,じっと待つ,sit tight,wait patiently
1586,現行犯で捕まる,caught red-handed,caught in the act
1587,事前に,in advance,ahead of time
1588,ある程度は,to a certain extent,to some degree
1589,大声で呼ぶ,shout out,call out loudly
1590,落ち度がある,at fault,responsible for an error
1591,記入する,fill in,complete a form
1592,冷たい態度,cold shoulder,a deliberately unfriendly attitude
1593,はっきりさせる,nail down,pin down
1594,いつものように,as usual,in the same way as normal
1595,飛び込む,dive into,start eagerly
1596,極めて明瞭な,crystal clear,completely transparent or easy to understand
1597,死角,blind spot,an area where vision or judgment is limited
1598,〜できない,fail to,not succeed in doing
