No.,日本語,単語・表現,英語の説明
2501,換気の悪さ,poor ventilation,inadequate air circulation
2502,風味の特徴,flavor profile,the overall taste characteristics of food
2503,速報,breaking news,newly received and important news
2504,〜することにハマっている,be into V-ing,be enthusiastic about doing
2505,ごくまれに,once in a blue moon,very rarely
2506,〜し始めている,I'm starting to,I am beginning to (feel/do)
2507,尊厳と敬意をもって,with dignity and respect,in an honorable and respectful manner
2508,インドア派,homebody,a person who prefers being at home
2509,見習い期間,apprenticeship,a period training under a skilled worker
2510,詮索好き,nosy,too curious about others' affairs
2511,広報担当,spokesman,a person who speaks officially for an organization
2512,野蛮な振る舞い,uncivilized behavior,rude or barbaric conduct
2513,私の見方では,the way I see it,in my opinion
2514,〜するつもりだ,intend to do,plan or mean to do something
2515,〜が起こる,occur,something happens or comes to mind
2516,秘密をバラす,spoil the beans,reveal a secret (variant of spill the beans)
2517,〜に拍手を送る,applaud,praise or clap for something
2518,受諾,acceptance,the act of agreeing or receiving
2519,がつがつ食べる,gobble,eat quickly and noisily
2520,(人)を〜のことで責める,blame for,hold someone responsible for a fault
2521,もし私があなたの立場なら,if I were in your shoes,if I were in your position
2522,公共の迷惑,public nuisance,something that annoys or harms the public
2523,〜という事実,the fact that,the reality or truth
2524,元に戻る,revert back,return to a previous state
2525,(人)とおしゃべりする,chat with,have a casual conversation with someone
2526,従う,abide by,follow a rule or decision
2527,過剰反応,overreaction,a response that is too strong
2528,喜んで〜いたします,we're pleased to,we are happy
2529,ワクワクしてる,psyched,very excited
2530,リハビリ,rehabilitation,restoring health or normal life after illness
2531,裏切り者,sellout,a person who betrays principles for money
2532,本物の駆け引き,real chess,a highly strategic contest
2533,〜を落ち着かせる,calm someone down,make someone less anxious
2534,心にグサッとくる,hit me in the feels,deeply move emotionally
2535,捨てる,trash,throw away
2536,〜がどうしても欲しい,want it so bad,want something very much
2537,〜系の,of descent,having ancestry from a place
2538,(物事を)手放す,let go,stop holding
2539,〜の前に,prior to,happening before a particular time or event
2540,過小評価する,underrate,rate or value lower than deserved
2541,あなたが住んでいる所,where you live,the place of your residence
2542,〜を呼び出す,summon,call something forth or order to appear
2543,致命的な条件,dealbreaker,an issue that ends a negotiation or relationship
2544,〜になるのは見たくない,I'd hate to see,I would be very sorry to witness
2545,〜の急増,surge of,a sudden powerful increase
2546,公になったこと,it went public,something that became publicly known
2547,まだ分からない,not sure yet,haven't decided or confirmed
2548,〜を手伝う,assist with,help someone
2549,切り離す,detach,separate
2550,〜だからご安心ください,rest assured that,be confident
2551,借りができた,I owe you,I am in your debt
2552,〜に行ったことある？,have you ever gone to,have you visited
2553,設置する,set something,place or arrange something
2554,声明,statement,a definite or formal declaration
2555,罪悪感のある,guilty,responsible for wrongdoing
2556,コンプライアンス,compliance,the act of obeying rules or laws
2557,味わう,savor,taste and enjoy fully
2558,これは違うわ,this is just not it,this is simply not acceptable or right
2559,ためらっている,be hesitant,be reluctant or unsure to do something
2560,成長マインドセット,growth mindset,the belief that ability can be developed
2561,場を和ませるもの,icebreaker,something that eases initial tension
2562,嵐の前の静けさ,the calm before the storm,a quiet period before trouble
2563,(人)に(物)を手に入れてあげる,get someone something,obtain something for someone
2564,〜を出す,serve,provide food or service
2565,〜のせいにする,attribute to,consider as caused or made
2566,アートっぽい美術館,artsy museum,"an artistic, stylish museum"
2567,核心を突く,hit the nail on the head,be exactly right
2568,ザリガニ,crayfish,a freshwater crustacean
2569,本当に初めて,for the very first time,for the absolute first occasion
2570,体臭,body odor,an unpleasant smell from the body
2571,私が最も〜しそうにない人,the last person I'd ever,the most unlikely person for me
2572,決まって(人)を〜させるもの,what never fails to make you do,what always causes someone to do
2573,〜してから久しい,it has been a while since,much time has passed since
2574,みぞれ,sleet,rain mixed with snow or ice
2575,もしかして〜したことある？,have you by any chance,do you happen
2576,反射ストリップ,reflective strip,a strip that reflects light for safety
2577,そこまで試す勇気はない,I'm not as brave to try,I lack the courage to attempt it
2578,もし〜だったら？,what if,what would happen if
2579,先着順,first come first served basis,served in the order of arrival
2580,明日が来た,tomorrow's here,tomorrow has arrived
2581,〜かどうか教えていただけますか,could you advise if,please tell me whether (polite)
2582,(人)が咳をする,cough,someone makes a sudden noise from the throat
2583,ソテーする,saute,fry briefly over high heat
2584,〜のせいにする,pin on,attribute blame to someone/something
2585,〜をきつく結ぶ,tie tight,fasten firmly with a knot
2586,強調する,underline,emphasize
2587,もう優しくしないからな,I won't be nice anymore,I will stop being kind
2588,運命づける,destine,intend or set apart for a purpose
2589,信じられない,I can't get over it,I can't stop thinking about it
2590,中立の立場をとる,sit on the fence,remain neutral
2591,休憩時間がある,have some downtime,have unscheduled free time
2592,おしゃべりな人,chatterbox,a person who talks a lot
2593,採用,adoption,the act of taking up an idea or child
2594,国外居住者,expatriate,a person living outside their native country
2595,〜に関して,with respect to,concerning
2596,欠点,shortcoming,a weakness or fault
2597,猫背,hunchback,a back with a pronounced curve
2598,実はちょうど〜しようとしてる,I'm actually about to,I'm just on the verge of doing
2599,こうやってやるんだよ,this is how you do it,here's the method
2600,これはまるで〜のようだ,this is just like,this closely resembles
2601,同時に,simultaneously,at the same time
2602,〜が確保された,be secured,something is safely obtained or fixed
2603,〜だけで,alone,something by itself
2604,いつ〜するんだろう,I wonder when,I'm curious about the timing
2605,〜をすすぐ,rinse,wash with clean water
2606,幻覚,hallucination,a perception of something not actually present
2607,購入する,purchase,buy something
