No.,日本語,単語・表現,英語の説明
2001,もう一つだけ,one more thing,an additional point
2002,次は,next up,the next thing to come
2003,〜が欲しい,could use,would benefit
2004,後で分かった,come to find out,later discover
2005,見に来て,come see,come and see
2006,人工の,man-made,"created by humans, not natural"
2007,最初からやり直す,start all over,begin again from scratch
2008,手伝いに来て,come help,come and help
2009,〜相手でも互角に,even against,on equal terms even versus
2010,持ち帰りでお願いします,to go please,for takeaway please
2011,終わる前に,before we end,before we wrap up
2012,もう一つには,for another thing,as another reason
2013,私の得意,my thing,what I personally enjoy or do
2014,第一に,for one thing,as a first reason
2015,はるかに多く,far more,a much greater amount
2016,〜の終わりに,at the end of,by the end of a period
2017,言いたいこと分かる,see your point,understand your view
2018,私の側,my end,my side or part of a situation
2019,私を落ち込ませる,let me feel bad,allow me to feel guilty or sad
2020,まず始めに,to start off,to begin
2021,ひどい状態で,in a bad way,in a poor condition or state
2022,息子がいる,have a son,be the parent of a boy
2023,注文する,make my order,place my order
2024,言うことがない,nothing to say,having no words or response
2025,この先数日間,for the next days,over the coming days
2026,よく休んでね,have a good rest,get plenty of rest
2027,独り占め,all to myself,entirely for me
2028,良い知らせは〜,the good news is,introduce a positive point
2029,何でも言って,name it,say any example you can think
2030,最もよく知られた,most well known,the most famous
2031,いわゆる〜,what is called,the thing referred
2032,前半,the first half,the first period of a game or event
2033,ただの遊び,just a fun,merely for amusement (casual)
2034,心にグサッと来た,hit me hard,affect deeply emotionally
2035,見に来てよ,come check out,come and look
2036,もう一つの問題は〜かもしれない,another problem could be,an additional issue might
2037,本物の人間,real person,"an actual human, not a bot or fake"
2038,本日時点で,as of today,starting from or counting from today
2039,注文する,place an order,request goods to be supplied
2040,〜の目的,the point of,the purpose
2041,何時が都合いい？,what time works,what time is suitable
2042,話せば長い,a long story,complicated to explain
2043,教育を受ける,get a education,obtain schooling (get an education)
2044,〜に間に合わない,won't make it to,won't be able to reach or attend
2045,オールスターの,all star,made up of the best performers
2046,体調がいまいち,feel a bit off,feel slightly unwell or strange
2047,自分の後始末を,after yourself,clean up the mess you made
2048,使い捨ての,single use,designed to be used once and discarded
2049,一人っ子,only child,a child with no siblings
2050,〜の一つ一つ全て,every single,absolutely every one
2051,ウィンウィンにする,make it win win,arrange for both sides to benefit
2052,どんな感じ？,what's it like,what's it look or feel like
2053,〜の味方をする,side with,support one party in a dispute
2054,〜のような音であるべき,it should sound like,the expected sound should
2055,〜より少なく,less than,smaller in amount or number than
2056,他でもない,no less,not any less
2057,やめる,leave off,stop or omit something
2058,いい加減にして,give me a break,stop bothering me
2059,感謝以外にない,nothing but thanks,only gratitude
2060,当ててみせようか,let me guess,allow me to make a prediction
2061,遅れるわけにはいかない,can't be late,must not be late
2062,体に気をつけて,take care of yourself,look after your wellbeing
2063,貯金する,save up,accumulate money over time
2064,ちくしょう,damn it all,an exclamation of frustration
2065,一人の人,single person,one individual
2066,値踏みする,size up,evaluate
2067,気が変わる,change my mind,decide differently
2068,ご参考までに,for your information,just so you know (FYI)
2069,大きな決断,big move,a major change or step
2070,早くも〜には,as early as,no later than the surprisingly early time
2071,何がこれを引き起こすのか,what might cause this,what could be the reason for this
2072,もう一つの理由,another reason,an additional cause
2073,ここ数日,these past days,over the recent few days
2074,たぶん大丈夫だ,it should be fine,it will probably be okay
2075,やっと終わった,I'm finally done,I have at last finished
2076,ちょっと時間ある？,have a minute,have a brief moment to spare
