No.,日本語,単語・表現,英語の説明
501,（家族に）似ている,take after,resemble a family member
502,瞬時に,instantly,"at once, with no delay at all"
503,十分なほど良い,good enough,sufficient
504,いい指摘,good point,an insightful observation
505,もう行かなきゃ,gotta run,I have to leave now
506,公表する,go public,make information known
507,一つ確かなこと,one thing for sure,one certain fact
508,まだ先,a while away,some distance off in time or space
509,約束をすっぽかす人,a no-show,someone who fails to appear
510,変化を起こす,make a change,alter something
511,出発する,set off,depart
512,現実世界では,in real life,in actual reality (not online)
513,言いたいことが分かる,know what you mean,understand what you're saying
514,確かに,for sure,definitely
515,失望させる,let down,fail to do what someone hoped or expected
516,確かである,be sure,be certain or confident
517,世話する,take care of,be responsible
518,偶然出会う,run into,meet someone unexpectedly
519,楽しみにする,look forward to,feel excited about a future event
520,じゃあね,see you later,a casual goodbye
521,気軽に〜してね,feel free to,you're welcome to do something
522,言ってみただけ,just saying,merely stating an opinion
523,無料で,for free,without payment
524,私に言わせれば,if you ask me,in my opinion
525,今日はここまでにする,call it a day,stop working for the day
526,もう十分,that's enough,tell someone to stop
527,たまに,once in a while,occasionally
528,最近,these days,currently
529,〜の名のもとに,in the name of,for the sake
530,引っ越して出る,move out,leave a place where you lived
531,仲良くやる,get along,have a friendly relationship
532,ないよりまし,better than nothing,preferable to none
533,やっぱり,on second thought,after reconsidering
534,気をつけて,watch out,be careful
535,マジで,for real,seriously
536,一方で,on the other hand,introducing a contrasting point
537,夜更かしする,stay up,remain awake
538,その時が来たら,when the time comes,at the appropriate future moment
539,現れる,turn up,appear
540,少しずつ,bit by bit,little by little
541,結局〜になる,turn out,end up being a particular way
542,一緒に働く,work together,cooperate to do something
543,チェックアウトする,check out,leave
544,案の定,sure enough,as was expected or predicted
545,長い目で見れば,in the long run,over a long period of time
546,〜の世話をする,care for,look after
547,〜したい（の方がまし）,would rather,prefer to do something
548,前もって,up front,in advance
549,引き起こす,bring about,cause something to happen
550,とても意味がある,mean a lot,be very important or meaningful
551,〜とは無関係だ,nothing to do with,unrelated
552,無駄に,for nothing,without result or payment
553,念のため,in case,as a precaution
554,直接,in person,"face to face, not online"
555,いずれにしても,in any case,regardless
556,むしろ,if anything,rather
557,最後になるが重要なこととして,last but not least,finally and importantly
558,その良い例,case in point,a perfect example
559,バッチリ,on point,perfect or just right
560,意味がない,there's no point,it's pointless
561,気分を変えて,for a change,for variety
562,片付ける,clear up,tidy
563,今夜はもう寝る,call it a night,end the day
564,ほぼ,pretty much,almost completely
565,気にしないで,never mind,forget it
566,〜に厳しい,be hard on,treat strictly or harshly
567,少し前に,a while ago,some time in the past
568,一度くらいは,for once,this one time
569,ごめん,my bad,my mistake
570,〜を見守る,watch over,guard and protect someone
571,やめろ,cut it out,stop doing something annoying
572,くつろいでください,make yourself at home,relax as if in your own home
573,待機する,stand by,wait
574,〜に変わる,turn into,transform
575,(考えを)信じる,buy into,accept as true
576,意気投合する,hit it off,get along well immediately
577,信じられないかもしれないけど,believe it or not,you may find this surprising
578,組み立てる,put together,assemble
579,チャンスを逃す,miss out,lose a chance to do or get something
580,ひっくり返す,turn over,flip
581,〜へ向かう,head to,go in the direction
582,一年を通してずっと,all year round,throughout the whole year
583,〜で大丈夫,be cool with,be okay
584,〜に関する限り,as far as,to the extent
585,世界レベルの,world class,among the best in the world
586,遅らせる,hold up,delay
587,さらに進む,go further,advance beyond a point
588,心理戦,mind game,psychological tactics to unsettle an opponent
589,管理下にある,under control,being managed properly
590,ワンランク上,next level,a much higher standard
591,別れる,break up,end a romantic relationship
592,急に発生する,break out,suddenly start
593,心に留めておく,keep in mind,remember to consider something
594,一般的に,in general,broadly speaking
595,形勢を逆転させる,turn things around,reverse a bad situation for the better
596,〜のように聞こえる,sound like,seem like (auditory)
597,全体として,as a whole,considered all together
598,私には理解できない,it's beyond me,I can't understand it
599,価値がある,it's worth it,it has value
600,役に立つかわからないけど,for what it's worth,"I'm not sure if this helps, but"
601,目立つ,stand out,be noticeable
602,連絡を取り合おう,keep in touch,stay in contact
603,突然,out of the blue,unexpectedly
604,ちょっと外す,step out,leave briefly
605,仲違いする,fall out with,have a quarrel and stop being friends
606,手短に言うと,long story short,to summarize briefly
607,全てを考慮すると,all things considered,taking everything into account
608,〜にさかのぼる,date back to,have existed since a past time
609,大きなお願い,big ask,a request that is difficult or demanding to fulfill
610,行動を起こす,take action,act on something
611,辻褄が合う,add up,make sense
612,話を遮る,cut off,interrupt
613,理にかなう,make sense,be reasonable or understandable
614,言っとくけど,mind you,by the way
615,敵対する,turn against,become hostile
616,〜を考えると,given that,since
617,ちょっと時間を取る,take a moment,pause briefly
618,大した事,big deal,an important matter
619,立ち寄る,drop by,make a brief visit
620,最初から,from the beginning,from the start
621,隠す,cover up,hide or conceal
622,登録する,sign up,create a new account
623,抑える,hold back,restrain
624,問題ない,no problem,no trouble at all
625,危機一髪,close call,a narrow escape from danger
626,作戦,game plan,a strategy for achieving a goal
627,理解する,figure out,understand or solve something after thinking
628,もう遅くなってきた,getting late,becoming late in time
629,(友達と)遊ぶ,hang out,spend time casually
630,場の緊張をほぐす,break the ice,ease initial awkwardness
631,双方が得をする,win-win,beneficial for both sides
632,偶然見つける,come across,find by chance
633,〜の印象を与える,come across as,give the impression of being
634,何があっても,no matter what,regardless of what happens
635,蓄積する,build up,accumulate gradually
636,もうすぐ,in a bit,soon
637,つまり〜と言ってるの？,are you saying,do you mean to say
638,口説く,hit on,make a romantic advance toward
639,望み薄,a long shot,an unlikely possibility
640,挨拶する,say hello,give a greeting
641,〜のこととなると,when it comes to,regarding
642,頼りにする,fall back on,rely on as a backup
643,故障する,break down,stop working
644,期日の,due,expected by a certain time
645,〜のため,due to,caused
646,何としても,at all costs,no matter what
647,問題は,the question is,what we need to ask
648,(次の話題などに)進む,move on to,shift to the next thing
649,早めて,speed up,move or make progress more quickly
650,整理する,sort out,organize or resolve
651,〜に前向きだ,be positive about,have an optimistic attitude toward
652,例えば,let's say,suppose
653,中退する,drop out,stop participating
654,可能性がある,there's a chance,there's a possibility
655,遠慮したい,I'd rather not,I would prefer not
656,それは～みたい,that sounds like,react to something just heard
657,ちょっとした豆知識,fun fact,an interesting bit of trivia
658,楽しみの半分,half the fun,a significant part of the enjoyment
659,先に進む,get ahead,advance or succeed
660,きれいにする,clean up,make a place tidy by removing mess or dirt
661,言うまでもなく,it goes without saying,it is obvious
662,〜したらすぐに,as soon as,immediately when something happens
663,〜よりむしろ,rather than,show a choice made over another option
664,対処する,deal with,handle
665,議事録,minutes,an official record of a meeting
666,チェックインする,check in,register on arrival
667,〜が我慢できない,can't stand doing,can't tolerate doing
668,恋に落ちる,fall in love,develop romantic feelings
669,除外する,rule out,exclude as a possibility
670,〜に基づいて行動する,act on,take action based
671,〜して時間を過ごす,spend time doing,use time doing
672,在庫切れ,out of stock,no longer available
673,立ち寄る,pop round,visit someone briefly and casually
674,あとから疑う,second-guess,doubt or reconsider a decision
675,すり減らす,wear out,exhaust
676,〜なのも当然,it's no wonder,no surprise
677,違いを生む,make a difference,have a significant effect
678,〜のような気がする,it feels like,it gives the impression
679,視点,point of view,a particular perspective
680,忘れないうちに,before I forget,while it's still on my mind
681,出発する,hit the road,leave
682,静まる,die down,subside
683,成長する,grow up,become an adult
684,困った人,a piece of work,a difficult or annoying person
685,～を導入する,bring in,to introduce someone or something
686,それでいこう,sounds like a plan,that's a good plan
687,信じられないよ,you wouldn't believe,you'd be amazed
688,夢でも見てな,in your dream,not going to happen
689,そういえば,speaking of which,since you mentioned
690,通過する,pass through,go through a place briefly
691,おかえり,welcome back,greeting to someone who returned
692,追いつく,catch up,reach the same level
693,ニュースを伝える,break the news,share important news
694,どうしたの？,what's the matter,what is the problem
695,〜の代わりに,instead of,in place of something or someone else
696,〜のようだ,it seems,it appears
697,〜にちなんで名付けられる,be named after,be given the name of someone or something
698,たくさんの,lots of,a large amount of something
699,ハッピーアワー,happy hour,a period when drinks are cheaper
700,全く同感,couldn't agree more,completely agree
701,ふざける,mess around,fool around
702,規模を拡大する,scale up,increase in size or scope
703,車を停める,pull up,stop a vehicle
704,私の心を痛める,break my heart,cause me deep sadness
705,〜を楽しみに待つ,look ahead to,anticipate a future event
706,説明する,account for,explain
707,撤退する,pull out,withdraw from an event or commitment
708,立ち上がる,rise up,stand up
709,成長して〜になる,grow into,develop to fit
710,土壇場で,at the last minute,at the latest possible time
711,直前,last minute,the latest possible moment before a deadline
712,意見が完全に一致する,see eye to eye,agree completely
713,後遺症,after effects,later consequences of an event
714,全てを出し切る,give absolutely everything,put in maximum effort
715,常識,common sense,good practical judgment
716,夏休み,summer break,the holiday period in summer
717,待つ,hold on,wait
718,たまたま〜する,happen to,do something by chance rather than by plan
719,予断を許さない,touch and go,uncertain
720,持ち越す,carry over,transfer to another period
721,正しい方向,right direction,the correct course toward a goal
722,新品の,brand new,completely new
723,行間を読む,read between the lines,find hidden meaning
724,旅行に行く,go on a trip,take a journey
725,黙る,shut up,stop talking
726,〜の最中,in the middle of,currently doing something
727,結果として,as a result,because of something that happened
728,結果として〜になる,result in,have a specified outcome
729,前進する,move forward,make progress
730,ぐっすり眠る,sleep like a log,sleep very deeply
731,仕事を終える,finish work,complete the day's work
732,密かに,low-key,subtly
733,効果が薄れる,wear off,gradually lose effect
734,ちょっと立ち寄る,pop over,drop by quickly
735,去った,gone,departed
736,何だと思う？,guess what,I have surprising news
737,〜じゃないかな,I guess,I suppose
738,たくさんの（カジュアル）,a bunch of,a large number or amount of something
739,〜に気づく,wake up to,become aware of something
740,起きる,wake up,stop sleeping
741,突き出る,stick out,extend beyond a surface
742,綿密に計画する,map out,plan something in detail
743,体調がいまいち,off color,slightly unwell
744,座って傍観する,sit back and watch,relax and observe without acting
745,踏ん張る,stand strong,remain firm under pressure
746,展開する,roll out,release or launch something
747,目を覚まさせる出来事,wake-up call,an event that prompts reflection
748,闇の面,dark side,the sinister aspect of something or someone
749,着陸する,touch down,land on a surface
750,解決する,iron out,resolve issues
751,取って来る,go grab,go and quickly get something
752,ストレスがたまる,stress out,feel very stressed
753,表す,stand for,represent
754,給油する,fuel up,refill with fuel
755,路肩に車を寄せる,pull over,stop a car at the side of the road
756,(映画の)興行収入,box office,movie ticket sales counter
757,騙される,fall for,be deceived
758,それは一理ある,fair point,a reasonable argument
759,まあそうだね,fair enough,that's reasonable
760,神に誓って,swear to god,promise emphatically
761,割り勘する,split the bill,divide the cost evenly
762,関わっている,involved,actively engaged
763,レシピ,recipe,instructions for preparing food
764,壊れた,broken,damaged and no longer working
765,写真,photograph,an image
766,ゴム,rubber,a flexible material used in tires
767,出発,departure,leaving from a place
768,不快な,nasty,unpleasant
769,魔法のような,magical,wonderfully enchanting
770,登る,climb,go up by gripping or stepping
771,想像力,imagination,the faculty of forming ideas
772,正当な,legitimate,valid
773,隠された,hidden,concealed
774,頂点,peak,the highest point
775,高さ,height,the measurement from base to top
